Timestamp,What is your age?,What is your gender?,Highest Level of Education Completed,Employment Type,How many hours do you work in an average week?,Number of years in current industry,"What is your expected personal income (pre-tax, in USD) this year?",Marital Status,Family Status
8/25/2009 6:41:56,28,Male,Bachelors,Small Business,40,2,12000,Single,0
8/25/2009 6:43:35,22,Male,Some College,Corporation,40,3,52000,Married/Partner,0
8/25/2009 6:49:43,35,Male,Some College,Small Business,40,8,50000,Married/Partner,0
8/25/2009 6:51:44,26,Male,Bachelors,Small Business,45,7,42000,Single,0
8/25/2009 6:53:21,38,Male,Masters/MBA,Small Business,45,14,70000,Married/Partner,1
8/25/2009 6:53:41,38,Male,Masters/MBA,Small Business,45,14,70000,Married/Partner,1
8/25/2009 6:55:41,35,Male,Some College,Large Business,40,10,70000,Married/Partner,2
8/25/2009 6:55:50,24,Male,Bachelors,Small Business,35,5,17500,Married/Partner,0
8/25/2009 6:56:02,23,Male,Bachelors,Large Business,40,1,50000,Single,0
8/25/2009 6:56:42,29,Male,Some College,Government,35,10,75750,Married/Partner,1
8/25/2009 6:57:28,24,Male,Bachelors,Student,25,12,30000,Single,0
8/25/2009 6:57:42,25,Male,Bachelors,Small Business,35,4,68000,Single,0
8/25/2009 6:57:50,23,Male,Bachelors,Large Business,30,8,80000,Single,0
8/25/2009 6:59:01,21,Male,Some College,Large Business,25,5,38000,Married/Partner,0
8/25/2009 7:00:03,24,Male,Bachelors,Small Business,60,3,43000,Single,0
8/25/2009 7:00:03,24,Male,Bachelors,Self Employed,40,4,70000,Married/Partner,0
8/25/2009 7:00:08,26,Male,Bachelors,Small Business,50,3,14000,Married/Partner,0
8/25/2009 7:00:41,25,Male,Bachelors,Small Business,40,2,60000,Single,0
8/25/2009 7:01:51,33,Male,Bachelors,Small Business,40,11,108000,Married/Partner,2
8/25/2009 7:01:52,35,Male,Bachelors,Large Business,40,20,30000,Married/Partner,1
8/25/2009 7:02:02,26,Male,Bachelors,Corporation,45,5,66000,Married/Partner,0
8/25/2009 7:02:10,32,Male,Some College,Small Business,40,12,45000,Single,0
8/25/2009 7:02:11,26,Male,Bachelors,Small Business,35,4,72000,Single,0
8/25/2009 7:02:11,21,Male,Some College,Small Business,40,1,40000,Single,0
8/25/2009 7:02:28,27,Male,Masters/MBA,Small Business,42,3,30000,Married/Partner,0
8/25/2009 7:02:44,40,Male,Pre-High School,Small Business,40,20,95000,Married/Partner,0
8/25/2009 7:02:53,21,Male,Bachelors,Student,40,3,8000,Single,0
8/25/2009 7:03:22,32,Male,Bachelors,Small Business,45,10,100000,Married/Partner,2
8/25/2009 7:03:46,28,Male,Masters/MBA,Corporation,50,10,100000,Single,0
8/25/2009 7:04:28,26,Male,Masters/MBA,Self Employed,50,5,40000,Single,0
8/25/2009 7:04:29,27,Male,Bachelors,Small Business,50,5,65000,Single,0
8/25/2009 7:04:37,28,Male,Bachelors,Small Business,40,5,65000,Single,0
8/25/2009 7:04:38,36,Male,Masters/MBA,Student,40,1,70000,Married/Partner,0
8/25/2009 7:04:50,25,Male,Bachelors,Self Employed,60,2,40000,Single,0
8/25/2009 7:04:52,40,Male,Some College,Corporation,40,22,80000,Married/Partner,2
8/25/2009 7:04:59,48,Male,Ph.D/DDS/MD,Small Business,80,16,100000,Married/Partner,0
8/25/2009 7:05:01,43,Male,Masters/MBA,Small Business,50,21,180000,Divorced/Seperated,0
8/25/2009 7:05:29,32,Male,High School,Government,40,14,40000,Divorced/Seperated,0
8/25/2009 7:05:31,29,Male,Bachelors,Corporation,40,8,96000,Single,0
8/25/2009 7:05:32,23,Male,Some College,Self Employed,40,2,40000,Married/Partner,0
8/25/2009 7:05:36,24,Male,Bachelors,Corporation,40,12,55000,Married/Partner,1
8/25/2009 7:05:50,23,Male,Bachelors,Unemployed,0,0,0,Single,0
8/25/2009 7:05:52,24,Male,Bachelors,Small Business,50,3,35000,Single,0
8/25/2009 7:05:57,24,Male,Bachelors,Corporation,40,5,58000,Married/Partner,0
8/25/2009 7:05:58,32,Male,Some College,Small Business,60,17,80000,Married/Partner,2
8/25/2009 7:06:03,24,Male,Masters/MBA,Student,20,3,10000,Single,0
8/25/2009 7:06:22,40,Male,Ph.D/DDS/MD,Self Employed,50,10,100000,Married/Partner,1
8/25/2009 7:06:24,30,Male,Some College,Corporation,50,1.5,50000,Single,0
8/25/2009 7:06:43,25,Male,Some College,Large Business,45,10,70000,Single,0
8/25/2009 7:07:07,34,Male,Bachelors,Small Business,32,12,30000,Married/Partner,1
8/25/2009 7:07:40,26,Male,Masters/MBA,Student,50,8,80000,Single,0
8/25/2009 7:07:44,23,Male,Bachelors,Small Business,40,1,53,Single,0
8/25/2009 7:07:54,24,Male,Some College,Student,25,3,9000,Single,0
8/25/2009 7:08:09,23,Male,Bachelors,Corporation,16,1,70000,Single,0
8/25/2009 7:08:17,24,Male,Bachelors,Large Business,40,2,62000,Single,0
8/25/2009 7:08:20,36,Male,Bachelors,Corporation,40,14,55000,Remarried,4
8/25/2009 7:08:23,24,Male,Bachelors,Small Business,45,5,55000,Married/Partner,0
8/25/2009 7:08:55,39,Male,Masters/MBA,Self Employed,35,13,67000,Single,0
8/25/2009 7:09:01,33,Male,Some College,Small Business,60,10,90000,Single,0
8/25/2009 7:09:14,23,Male,Some College,Corporation,45,2,72000,Married/Partner,0
8/25/2009 7:09:17,34,Male,Some College,Corporation,52,7,100000,Married/Partner,5
8/25/2009 7:09:29,17,Male,Pre-High School,Student,6,3,100,Single,0
8/25/2009 7:09:35,22,Male,Bachelors,Small Business,50,3,45000,Single,0
8/25/2009 7:09:44,26,Male,Bachelors,Self Employed,60,6,100000,Married/Partner,0
8/25/2009 7:09:52,18,Male,Some College,Student,0,1,2000,Single,0
8/25/2009 7:10:03,30,Male,Bachelors,Small Business,55,3,53000,Married/Partner,2
8/25/2009 7:10:08,21,Male,Some College,Student,20,3,10000,Single,0
8/25/2009 7:10:37,38,Male,Bachelors,Large Business,45,16,160000,Married/Partner,4
8/25/2009 7:10:42,27,Male,Ph.D/DDS/MD,Large Business,60,7,60000,Single,0
8/25/2009 7:11:09,29,Male,Some College,Small Business,50,3,80000,Single,0
8/25/2009 7:11:18,26,Male,Bachelors,Small Business,45,4,100000,Single,0
8/25/2009 7:11:24,22,Male,Bachelors,Government,40,1,20000,Single,0
8/25/2009 7:11:31,27,Male,Bachelors,Small Business,40,5,65440,Single,0
8/25/2009 7:11:34,24,Male,Some College,Self Employed,20,5,40000,Single,0
8/25/2009 7:11:35,30,Female,Masters/MBA,Large Business,40,3,75000,Single,0
8/25/2009 7:11:53,25,Male,Bachelors,Small Business,65,1,15000,Single,0
8/25/2009 7:12:02,31,Male,Masters/MBA,Large Business,55,5,75000,Single,0
8/25/2009 7:12:06,28,Male,Some College,Self Employed,80,7,100000,Single,0
8/25/2009 7:12:09,22,Male,Some College,Small Business,65,4,90000,Single,0
8/25/2009 7:13:10,31,Male,Bachelors,Small Business,50,10,130000,Single,0
8/25/2009 7:13:14,30,Male,Bachelors,Small Business,55,10,50000,Married/Partner,0
8/25/2009 7:13:18,32,Male,Bachelors,Small Business,42,9,75000,Married/Partner,2
8/25/2009 7:13:21,25,Male,Bachelors,Corporation,40,2,60000,Single,0
8/25/2009 7:13:26,28,Male,Bachelors,Corporation,40,2,40000,Single,0
8/25/2009 7:13:37,20,Male,Some College,Student,40,2,12500,Single,0
8/25/2009 7:13:49,24,Male,Masters/MBA,Large Business,38,1,70000,Married/Partner,0
8/25/2009 7:13:50,27,Male,High School,Self Employed,50,4,25000,Single,0
8/25/2009 7:14:02,17,Male,High School,Student,20,2,1000,Single,0
8/25/2009 7:14:27,26,Male,Bachelors,Self Employed,10,7,35000,Married/Partner,0
8/25/2009 7:14:55,19,Male,High School,Student,0,0,0,Single,0
8/25/2009 7:14:56,29,Male,Masters/MBA,Small Business,60,6,90000,Married/Partner,0
8/25/2009 7:15:02,26,Male,Masters/MBA,Small Business,40,2,45000,Married/Partner,0
8/25/2009 7:15:04,32,Male,Masters/MBA,Self Employed,50,13,90000,Married/Partner,0
8/25/2009 7:15:13,27,Male,Bachelors,Self Employed,60,9,40000,Married/Partner,0
8/25/2009 7:15:27,31,Male,Bachelors,Small Business,48,4,48000,Married/Partner,1
8/25/2009 7:15:31,30,Male,Masters/MBA,Large Business,40,5,110000,Single,0
8/25/2009 7:15:36,26,Male,Masters/MBA,Large Business,40,5,51500,Single,0
8/25/2009 7:15:41,36,Female,Some College,Self Employed,45,12,80000,Single,0
8/25/2009 7:15:45,33,Male,Masters/MBA,Small Business,45,7,20000,Married/Partner,0
8/25/2009 7:15:59,27,Male,Bachelors,Corporation,40,5,115000,Single,0
8/25/2009 7:16:10,29,Male,Some College,Self Employed,45,12,80000,Single,0
8/25/2009 7:16:31,36,Male,Bachelors,Small Business,60,12,70,Married/Partner,2
